"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2024","1,471.78","1,474.45","1,476.45","1,467.05","18.29M","-0.29%"
"05/13/2024","1,476.12","1,484.03","1,486.12","1,471.01","22.68M","-0.54%"
"05/10/2024","1,484.06","1,481.17","1,485.95","1,480.37","20.53M","0.46%"
"05/09/2024","1,477.22","1,475.22","1,477.88","1,467.59","32.50M","0.25%"
"05/08/2024","1,473.53","1,464.74","1,475.93","1,464.74","41.00M","1.47%"
"05/02/2024","1,452.24","1,447.13","1,460.29","1,447.13","25.57M","0.26%"
"04/30/2024","1,448.48","1,456.60","1,459.25","1,448.09","40.70M","-0.48%"
"04/29/2024","1,455.48","1,454.48","1,457.04","1,447.12","20.76M","0.03%"
"04/26/2024","1,454.98","1,438.80","1,455.09","1,438.80","28.98M","1.38%"
"04/25/2024","1,435.19","1,443.31","1,448.70","1,434.89","32.59M","-0.93%"
"04/24/2024","1,448.70","1,448.93","1,462.68","1,446.07","43.09M","0.06%"
"04/23/2024","1,447.82","1,424.10","1,447.82","1,424.10","31.53M","1.93%"
"04/22/2024","1,420.40","1,399.34","1,420.44","1,399.34","20.02M","1.99%"
"04/19/2024","1,392.62","1,371.58","1,395.57","1,371.58","20.68M","0.84%"
"04/18/2024","1,381.07","1,368.23","1,381.11","1,368.23","19.77M","1.14%"
"04/17/2024","1,365.48","1,361.29","1,371.51","1,360.93","27.15M","0.60%"
"04/16/2024","1,357.30","1,377.57","1,378.89","1,357.30","32.80M","-2.40%"
"04/15/2024","1,390.69","1,383.73","1,397.33","1,375.44","30.44M","-0.71%"
"04/12/2024","1,400.61","1,418.25","1,423.83","1,395.54","23.01M","-1.12%"
"04/11/2024","1,416.53","1,420.40","1,421.78","1,411.31","16.37M","-0.27%"
"04/10/2024","1,420.30","1,422.37","1,425.68","1,412.91","28.46M","0.18%"
"04/09/2024","1,417.75","1,401.76","1,419.26","1,399.94","27.66M","1.17%"
"04/08/2024","1,401.35","1,385.24","1,403.70","1,385.24","24.32M","1.29%"
"04/05/2024","1,383.45","1,378.51","1,384.12","1,364.08","22.21M","-0.21%"
"04/04/2024","1,386.38","1,383.67","1,394.08","1,376.62","24.96M","0.19%"
"04/03/2024","1,383.69","1,392.98","1,395.84","1,378.93","25.81M","-0.73%"
"04/02/2024","1,393.84","1,417.78","1,423.72","1,391.13","23.58M","-2.00%"
"03/28/2024","1,422.35","1,417.95","1,425.39","1,414.70","23.91M","0.34%"
"03/27/2024","1,417.59","1,422.96","1,431.22","1,416.48","21.24M","-0.35%"
"03/26/2024","1,422.51","1,422.73","1,427.90","1,420.50","32.00M","-0.19%"
"03/22/2024","1,425.16","1,427.77","1,429.70","1,423.75","19.62M","-0.36%"
"03/21/2024","1,430.35","1,424.64","1,433.50","1,421.97","31.92M","0.89%"
"03/20/2024","1,417.72","1,402.44","1,419.34","1,402.44","33.71M","1.02%"
"03/19/2024","1,403.47","1,417.28","1,417.28","1,403.47","34.63M","-1.31%"
"03/15/2024","1,422.03","1,421.14","1,426.65","1,414.64","73.78M","0.31%"
"03/14/2024","1,417.64","1,403.21","1,417.64","1,397.23","42.31M","1.27%"
"03/13/2024","1,399.87","1,398.60","1,407.68","1,398.57","43.02M","0.29%"
"03/12/2024","1,395.86","1,394.79","1,400.07","1,386.21","46.77M","0.33%"
"03/11/2024","1,391.26","1,427.40","1,427.71","1,391.26","69.54M","-2.51%"
"03/08/2024","1,427.02","1,424.04","1,430.85","1,421.22","27.89M","0.11%"
"03/07/2024","1,425.44","1,435.69","1,437.32","1,420.03","327.22M","-0.53%"
"03/06/2024","1,433.04","1,428.65","1,434.54","1,427.08","25.66M","0.15%"
"03/05/2024","1,430.94","1,433.83","1,436.44","1,428.00","22.23M","-0.27%"
"03/04/2024","1,434.87","1,426.38","1,437.65","1,426.38","25.45M","0.85%"
"03/01/2024","1,422.75","1,423.51","1,427.37","1,421.03","15.88M","-0.14%"
"02/29/2024","1,424.77","1,408.89","1,424.79","1,408.89","30.73M","1.21%"
"02/28/2024","1,407.74","1,410.72","1,415.11","1,396.03","17.72M","-0.30%"
"02/27/2024","1,411.98","1,413.29","1,416.68","1,407.95","16.55M","-0.18%"
"02/26/2024","1,414.51","1,411.60","1,416.43","1,411.40","13.23M","0.09%"
"02/23/2024","1,413.26","1,422.53","1,423.60","1,410.89","27.17M","-0.42%"
"02/22/2024","1,419.25","1,425.48","1,431.08","1,418.10","20.50M","-0.07%"
"02/21/2024","1,420.28","1,421.26","1,423.17","1,415.33","30.31M","-0.29%"
"02/20/2024","1,424.35","1,422.04","1,426.93","1,418.14","17.47M","0.14%"
